"","Year","Location","total_cases","neuro_cases","blood_donor","state","county","state_code","county_code"
"1",2000,"DE, Kent",0,0,0,"DE","Kent County","10","001"
"2",2000,"DE, New Castle",0,0,0,"DE","New Castle County","10","003"
"3",2000,"DC, Washington",0,0,0,"DC","District of Columbia","11","001"
"4",2000,"MD, Anne Arundel",0,0,0,"MD","Anne Arundel County","24","003"
"5",2000,"MD, Baltimore",0,0,0,"MD","Baltimore County","24","005"
"6",2000,"MD, Charles",0,0,0,"MD","Charles County","24","017"
"7",2000,"MD, Frederick",0,0,0,"MD","Frederick County","24","021"
"8",2000,"MD, Howard",0,0,0,"MD","Howard County","24","027"
"9",2000,"MD, Montgomery",0,0,0,"MD","Montgomery County","24","031"
"10",2000,"MD, Prince Georges",0,0,0,"MD","Prince George's County","24","033"
"11",2000,"MD, Baltimore City",0,0,0,"MD","Baltimore city","24","510"
"12",2000,"MA, Barnstable",0,0,0,"MA","Barnstable County","25","001"
"13",2000,"MA, Bristol",0,0,0,"MA","Bristol County","25","005"
"14",2000,"MA, Essex",0,0,0,"MA","Essex County","25","009"
"15",2000,"MA, Hampden",0,0,0,"MA","Hampden County","25","013"
"16",2000,"MA, Hampshire",0,0,0,"MA","Hampshire County","25","015"
"17",2000,"MA, Middlesex",0,0,0,"MA","Middlesex County","25","017"
"18",2000,"MA, Nantucket",0,0,0,"MA","Nantucket County","25","019"
"19",2000,"MA, Norfolk",0,0,0,"MA","Norfolk County","25","021"
"20",2000,"MA, Plymouth",0,0,0,"MA","Plymouth County","25","023"
"21",2000,"MA, Suffolk",0,0,0,"MA","Suffolk County","25","025"
"22",2000,"MA, Worcester",0,0,0,"MA","Worcester County","25","027"
"23",2000,"NH, Hillsborough",0,0,0,"NH","Hillsborough County","33","011"
"24",2000,"NH, Rockingham",0,0,0,"NH","Rockingham County","33","015"
"25",2000,"NJ, Atlantic",0,0,0,"NJ","Atlantic County","34","001"
"26",2000,"NJ, Bergen",1,1,0,"NJ","Bergen County","34","003"
"27",2000,"NJ, Burlington",0,0,0,"NJ","Burlington County","34","005"
"28",2000,"NJ, Camden",0,0,0,"NJ","Camden County","34","007"
"29",2000,"NJ, Cape May",0,0,0,"NJ","Cape May County","34","009"
"30",2000,"NJ, Essex",0,0,0,"NJ","Essex County","34","013"
"31",2000,"NJ, Gloucester",0,0,0,"NJ","Gloucester County","34","015"
