"","neon_region","year","cases"
"1",1,2005,46
"2",1,2006,25
"3",1,2007,23
"4",1,2008,41
"5",1,2009,6
"6",1,2010,101
"7",1,2011,47
"8",1,2012,118
"9",1,2013,31
"10",1,2014,29
"11",1,2015,65
"12",1,2016,41
"13",1,2017,62
"14",1,2018,196
"15",1,2019,18
"16",1,2020,34
"17",1,2021,65
"18",1,2022,86
"19",1,2023,64
"20",1,2024,111
"21",2,2005,31
"22",2,2006,17
"23",2,2007,29
"24",2,2008,28
"25",2,2009,12
"26",2,2010,57
"27",2,2011,35
"28",2,2012,134
"29",2,2013,39
"30",2,2014,35
"31",2,2015,86
"32",2,2016,33
"33",2,2017,69
"34",2,2018,201
"35",2,2019,35
"36",2,2020,15
"37",2,2021,63
"38",2,2022,67
"39",2,2023,72
"40",2,2024,120
"41",3,2005,124
"42",3,2006,186
"43",3,2007,71
"44",3,2008,24
"45",3,2009,49
"46",3,2010,52
"47",3,2011,61
"48",3,2012,299
"49",3,2013,43
"50",3,2014,204
"51",3,2015,83
"52",3,2016,89
"53",3,2017,66
"54",3,2018,146
"55",3,2019,21
"56",3,2020,20
"57",3,2021,44
"58",3,2022,65
"59",3,2023,66
"60",3,2024,165
"61",5,2005,173
"62",5,2006,152
"63",5,2007,65
"64",5,2008,28
"65",5,2009,3
"66",5,2010,51
"67",5,2011,60
"68",5,2012,328
"69",5,2013,99
"70",5,2014,34
"71",5,2015,60
"72",5,2016,136
"73",5,2017,120
"74",5,2018,205
"75",5,2019,25
"76",5,2020,61
"77",5,2021,85
"78",5,2022,35
"79",5,2023,100
"80",5,2024,82
"81",6,2005,150
"82",6,2006,202
"83",6,2007,153
"84",6,2008,32
"85",6,2009,18
"86",6,2010,40
"87",6,2011,39
"88",6,2012,233
"89",6,2013,168
"90",6,2014,57
"91",6,2015,87
"92",6,2016,127
"93",6,2017,121
"94",6,2018,298
"95",6,2019,37
"96",6,2020,28
"97",6,2021,123
"98",6,2022,81
"99",6,2023,200
"100",6,2024,116
"101",8,2005,124
"102",8,2006,134
"103",8,2007,135
"104",8,2008,53
"105",8,2009,29
"106",8,2010,14
"107",8,2011,40
"108",8,2012,302
"109",8,2013,95
"110",8,2014,69
"111",8,2015,86
"112",8,2016,75
"113",8,2017,153
"114",8,2018,62
"115",8,2019,31
"116",8,2020,25
"117",8,2021,28
"118",8,2022,33
"119",8,2023,105
"120",8,2024,103
"121",9,2005,72
"122",9,2006,85
"123",9,2007,168
"124",9,2008,16
"125",9,2009,12
"126",9,2010,9
"127",9,2011,3
"128",9,2012,106
"129",9,2013,157
"130",9,2014,30
"131",9,2015,31
"132",9,2016,70
"133",9,2017,53
"134",9,2018,142
"135",9,2019,9
"136",9,2020,10
"137",9,2021,31
"138",9,2022,40
"139",9,2023,129
"140",9,2024,42
"141",10,2005,66
"142",10,2006,87
"143",10,2007,104
"144",10,2008,28
"145",10,2009,49
"146",10,2010,56
"147",10,2011,3
"148",10,2012,86
"149",10,2013,147
"150",10,2014,119
"151",10,2015,92
"152",10,2016,75
"153",10,2017,40
"154",10,2018,74
"155",10,2019,36
"156",10,2020,15
"157",10,2021,134
"158",10,2022,111
"159",10,2023,362
"160",10,2024,68
"161",11,2005,70
"162",11,2006,161
"163",11,2007,116
"164",11,2008,22
"165",11,2009,53
"166",11,2010,6
"167",11,2011,3
"168",11,2012,721
"169",11,2013,94
"170",11,2014,66
"171",11,2015,137
"172",11,2016,201
"173",11,2017,76
"174",11,2018,64
"175",11,2019,5
"176",11,2020,90
"177",11,2021,79
"178",11,2022,15
"179",11,2023,83
"180",11,2024,261
"181",14,2005,144
"182",14,2006,86
"183",14,2007,113
"184",14,2008,153
"185",14,2009,38
"186",14,2010,138
"187",14,2011,62
"188",14,2012,159
"189",14,2013,106
"190",14,2014,119
"191",14,2015,223
"192",14,2016,82
"193",14,2017,178
"194",14,2018,49
"195",14,2019,164
"196",14,2020,26
"197",14,2021,1169
"198",14,2022,55
"199",14,2023,108
"200",14,2024,36
"201",17,2005,232
"202",17,2006,72
"203",17,2007,136
"204",17,2008,224
"205",17,2009,62
"206",17,2010,68
"207",17,2011,100
"208",17,2012,264
"209",17,2013,201
"210",17,2014,533
"211",17,2015,446
"212",17,2016,318
"213",17,2017,333
"214",17,2018,134
"215",17,2019,129
"216",17,2020,170
"217",17,2021,92
"218",17,2022,158
"219",17,2023,298
"220",17,2024,95
